id,liquidity_tier,usd_size,input_mint,output_mint,amount,ours_status,ours_out,jup_restricted_status,jup_restricted_out,jup_unrestricted_status,jup_unrestricted_out,delta_bps_vs_restricted,delta_bps_vs_unrestricted,outcome_vs_restricted,ours_server_ms,ours_rtt_ms,jup_restricted_rtt_ms,jup_unrestricted_rtt_ms,jaccard_vs_restricted
sol-FVHEAQQf-0.1usd-fwd,tail,0.1,So11111111111111111111111111111111111111112,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,625000,no_route,,ok,14839592716444,ok,14839592716444,,,ours_no_route,,78.113,96.448,211.784,
sol-FVHEAQQf-0.1usd-rev,tail,0.1,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,So11111111111111111111111111111111111111112,14876996174969,no_route,,ok,623429,ok,623429,,,ours_no_route,,58.254,108.397,106.227,
sol-FVHEAQQf-1usd-fwd,tail,1,So11111111111111111111111111111111111111112,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,6250000,no_route,,ok,148378132567399,ok,148378132567399,,,ours_no_route,,82.729,103.314,118.044,
sol-FVHEAQQf-1usd-rev,tail,1,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,So11111111111111111111111111111111111111112,148769961749691,no_route,,ok,6233538,ok,6233538,,,ours_no_route,,59.714,107.702,153.437,
sol-FVHEAQQf-10usd-fwd,tail,10,So11111111111111111111111111111111111111112,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,62500000,no_route,,ok,1481992340506901,ok,1481992340506901,,,ours_no_route,,73.037,114.724,105.663,
sol-FVHEAQQf-10usd-rev,tail,10,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,So11111111111111111111111111111111111111112,1487699617496906,no_route,,ok,62260230,ok,62260230,,,ours_no_route,,49.657,103.876,103.563,
sol-FVHEAQQf-100usd-fwd,tail,100,So11111111111111111111111111111111111111112,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,625000000,no_route,,ok,14643369286236972,ok,14643369286236972,,,ours_no_route,,56.488,115.754,114.655,
sol-FVHEAQQf-100usd-rev,tail,100,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,So11111111111111111111111111111111111111112,14876996174969056,no_route,,ok,615185061,ok,615185061,,,ours_no_route,,62.567,118.924,112.591,
sol-FVHEAQQf-1000usd-fwd,tail,1000,So11111111111111111111111111111111111111112,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,6250000000,no_route,,ok,130845663075768608,ok,130845663075768608,,,ours_no_route,,63.962,104.323,233.923,
sol-FVHEAQQf-1000usd-rev,tail,1000,FVHEAQQfEGPfZbgCaqZiamVhPuZHxZU4vZb8eMjXr74j,So11111111111111111111111111111111111111112,148769961749690560,no_route,,ok,5496979259,ok,5496979259,,,ours_no_route,,69.096,117.822,103.461,
